,pH_perm,NaOH mg/kg w,pH_outlet
403,4.9,137.43680176715569,11.394888719448357
404,4.9,167.7605888521941,11.494899883977896
405,4.9,206.02038956915234,11.594913977387455
406,4.9,254.35559706269635,11.694931785335005
407,4.9,315.5110882438759,11.794954312106313
408,4.9,393.0192570356917,11.89498284429081
409,4.9,491.4374413281091,11.995019033357767
410,5.0,2.499674482605906,7.994842627876728
411,5.0,2.78262427599857,8.09484268015245
412,5.0,3.125704227167498,8.194842743631835
413,5.0,3.5392731098747525,8.294842820294841
414,5.0,4.033862770979743,8.394842912189885
415,5.0,4.619432390770845,8.494843021311842
416,5.0,5.304353060402692,8.594843149435047
417,5.0,6.094184247809702,8.694843297912854
418,5.0,6.990404074558681,8.79484346747348
419,5.0,7.989366284234672,8.894843658061518
420,5.0,9.081833804344054,8.994843868788413
421,5.0,10.25342339334492,9.094844098052892
422,5.0,11.486146561381247,9.19484434386617
423,5.0,12.760964748519172,9.294844604370185
424,5.0,14.060983115124184,9.394844878485587
425,5.0,15.374720076807561,9.4948451665947
426,5.0,16.698906032192102,9.594845471167813
427,5.0,18.04048122370716,9.69484579728167
428,5.0,19.41777759400902,9.794846153035495
429,5.0,20.86114971723355,9.8948465499221
430,5.0,22.41347667239895,9.994847003241706
431,5.0,24.130977616868538,10.094847532653631
432,5.0,26.08471410825377,10.194848162954496
433,5.0,28.363055704780756,10.29484892516015
434,5.0,31.07531358870552,10.394849857964186
435,5.0,34.356726983089445,10.494851009652734
436,5.0,38.375023178502005,10.594852441951414
437,5.0,43.33886157808412,10.694854227960073
438,5.0,49.508585684020396,10.794856463627614
439,5.0,57.209886411138875,10.89485926805061
440,5.0,66.85117183367664,10.994862791079424
441,5.0,78.9457235471817,11.094867221537378
442,5.0,94.14009154067875,11.19487279772276
443,5.0,113.25069157704363,11.294879820880286
444,5.0,137.31125801180218,11.39488867255225
445,5.0,167.6347068181087,11.494899837010049
446,5.0,205.89410439078011,11.594913930336153
447,5.0,254.22883796861,11.694931738188231
448,5.0,315.38378026195033,11.794954264852255
449,5.0,392.89132313331135,11.894982796918358
450,5.0,491.30880470292806,11.995018985856913
451,5.1,2.397157102307682,7.994842589366295
452,5.1,2.680103146944887,8.094842641641955
453,5.1,3.023178693363451,8.1948427051213
454,5.1,3.43674248619537,8.294842781784286
455,5.1,3.9313263853730587,8.394842873679366
456,5.1,4.516889644152159,8.494842982801442
457,5.1,5.2018035045242135,8.594843110924893
458,5.1,5.991627671798164,8.694843259403104
459,5.1,6.887840585555891,8.794843428964375
460,5.1,7.886796361963103,8.89484361955333
461,5.1,8.979258304730342,8.994843830281441
462,5.1,10.150843484291615,9.094844059547434
463,5.1,11.383563588484307,9.194844305362537
464,5.1,12.658380047285606,9.294844565868578
465,5.1,13.958397805143262,9.39484483998611
466,5.1,15.27213487645516,9.494845128097332
467,5.1,16.596321124703454,9.594845432672374
468,5.1,17.93789618349908,9.694845758787833
469,5.1,19.315191362807482,9.794846114542798
470,5.1,20.758560604571016,9.894846511429913
471,5.1,22.310882349219977,9.994846964749268
472,5.1,24.02837507936584,10.09484749416004
473,5.1,25.982099589696514,10.19484812445878
474,5.1,28.260424534624473,10.29484888666096
475,5.1,30.97265999017368,10.394849819460086
476,5.1,34.25404380929768,10.494850971141938
477,5.1,38.272301587338106,10.594852403431494
478,5.1,43.236090633978755,10.694854189428726
479,5.1,49.40575188682151,10.794856425081704
480,5.1,57.10697314313779,10.89485922948636
481,5.1,66.74815873650881,10.9948627524923
482,5.1,78.84258584707484,11.094867182921988
483,5.1,94.03679937483787,11.194872759072766
484,5.1,113.14720939769242,11.294879782188378
485,5.1,137.20754418525385,11.394888633810163
486,5.1,167.53071355037773,11.494899798208696
487,5.1,205.7897781071967,11.59491389146585
488,5.1,254.12412022068892,11.694931699239058
489,5.1,315.27860913757036,11.794954225814454
490,5.1,392.7856350252653,11.894982757782754
491,5.1,491.202536204225,11.995018946615243
492,5.2,2.310927517117499,7.994842556974086
493,5.2,2.5938704076789105,8.094842609249698
494,5.2,2.936942248752921,8.194842672729
495,5.2,3.3505017596781017,8.294842749391977
496,5.2,3.845080811470503,8.394842841287083
497,5.2,4.43063871905625,8.494842950409266
498,5.2,5.115546851178203,8.594843078532916
499,5.2,5.905365112650739,8.694843227011484
500,5.2,6.80157221098131,8.794843396573294
501,5.2,7.800522575306224,8.894843587162999
502,5.2,8.892979826072217,8.994843797892127
503,5.2,10.064561296381244,9.094844027159413
504,5.2,11.297278823273475,9.194844272976042
505,5.2,12.572093828342322,9.294844533483776
506,5.2,13.872111074576528,9.394844807603109
507,5.2,15.185848238820446,9.494845095716103
508,5.2,16.51003473417697,9.594845400292781
509,5.2,17.851609682207297,9.694845726409593
510,5.2,19.228903860720262,9.7948460821655
511,5.2,20.672270679714792,9.894846479053074
512,5.2,22.22458804348583,9.994846932372198
513,5.2,23.942073864619186,10.094847461782033
514,5.2,25.895788299001698,10.194848092078933
515,5.2,28.174099239259057,10.294848854278259
516,5.2,30.886315830958253,10.394849787073241
517,5.2,34.16767477556259,10.494850938749455
518,5.2,38.18590024189299,10.594852371031209
519,5.2,43.14964777946669,10.694854157018828
520,5.2,49.319256168058104,10.794856392659558
521,5.2,57.0204105844404,10.894859197048785
522,5.2,66.661512215366,10.994862720035481
523,5.2,78.75583452838366,11.094867150441388
524,5.2,93.94991814272535,11.19487272656306
525,5.2,113.06016835774679,11.294879749643416
526,5.2,137.12030832547893,11.394888601222991
527,5.2,167.44324268030385,11.494899765571668
528,5.2,205.70202717795652,11.59491385877083
529,5.2,254.03604009007205,11.694931666477697
530,5.2,315.19014775540427,11.794954192978546
531,5.2,392.69673892487475,11.894982724864587
532,5.2,491.113152096841,11.995018913607863
